# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3M of event 'cycles:P'
# Event count (approx.): 3030505634070
#
# Overhead  Command        Shared Object              Symbol                                     
# ........  .............  .........................  ...........................................
#
     0.00%  my_executable  libpciaccess.so.0.11.1     [.] 0x000000000000268d
     0.00%  my_executable  libc.so.6                  [.] 0x00000000001568bc
     0.00%  my_executable  [kernel.vmlinux]           [k] kobject_get
     0.00%  my_executable  [kernel.vmlinux]           [k] widen_string
     0.00%  my_executable  [kernel.vmlinux]           [k] seq_open
     0.00%  my_executable  [kernel.vmlinux]           [k] show_vfsmnt
     0.00%  my_executable  libc.so.6                  [.] 0x000000000004d0ff
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000735ac
     0.00%  my_executable  [kernel.vmlinux]           [k] select_task_rq_fair
     0.00%  my_executable  [kernel.vmlinux]           [k] remove_migration_pte
     0.00%  my_executable  libpciaccess.so.0.11.1     [.] 0x0000000000002746
     0.00%  my_executable  [kernel.vmlinux]           [k] invalid_migration_vma
     0.00%  my_executable  libpciaccess.so.0.11.1     [.] 0x0000000000002639
     0.00%  my_executable  libc.so.6                  [.] 0x000000000004d170
     0.00%  my_executable  ld-linux-x86-64.so.2       [.] 0x000000000001737f
     0.00%  my_executable  libm.so.6                  [.] 0x000000000007399a
     0.00%  my_executable  libpciaccess.so.0.11.1     [.] 0x00000000000025b8
     0.00%  my_executable  libm.so.6                  [.] 0x000000000007395d
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073a83
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073b43
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073aa1
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073ac1
     0.00%  my_executable  libm.so.6                  [.] 0x00000000000731c0
     0.00%  my_executable  libc.so.6                  [.] 0x00000000001569c0
     0.00%  my_executable  libc.so.6                  [.] 0x000000000015a00a
     0.00%  my_executable  libpciaccess.so.0.11.1     [.] 0x00000000000027d5
     0.00%  my_executable  libpciaccess.so.0.11.1     [.] 0x0000000000002765
     0.00%  my_executable  libhwloc.so.15.7.0         [.] 0x0000000000045960
     0.00%  my_executable  [kernel.vmlinux]           [k] __slab_free
     0.00%  my_executable  libpciaccess.so.0.11.1     [.] 0x0000000000002174
     0.00%  my_executable  libudev.so.1.7.8           [.] 0x0000000000013a98
     0.00%  my_executable  libm.so.6                  [.] 0x0000000000073352
     0.00%  my_executable  [kernel.vmlinux]           [k] atime_needs_update
     0.00%  my_executable  libudev.so.1.7.8           [.] 0x0000000000014c61
     0.00%  my_executable  [kernel.vmlinux]           [k] mntget
     0.00%  my_executable  libudev.so.1.7.8           [.] 0x000000000001a360
     0.00%  my_executable  libc.so.6                  [.] 0x0000000000087810
     0.00%  my_executable  [kernel.vmlinux]           [k] __x64_sys_openat
     0.00%  my_executable  [kernel.vmlinux]           [k] lockref_get
     0.00%  my_executable  [kernel.vmlinux]           [k] do_mmap
     0.00%  my_executable  [kernel.vmlinux]           [k] tlb_batch_pages_flush
     0.00%  my_executable  libgomp.so.1.0.0           [.] goacc_runtime_initialize
     0.00%  my_executable  libopen-pal.so.80.0.2      [.] opal_util_keyval_yylex
     0.00%  my_executable  libopen-pal.so.80.0.2      [.] opal_class_initialize
     0.00%  my_executable  [kernel.vmlinux]           [k] kernfs_fop_open
     0.00%  my_executable  libc.so.6                  [.] openat64
     0.00%  my_executable  ld-linux-x86-64.so.2       [.] 0x0000000000009826
     0.00%  my_executable  [kernel.vmlinux]           [k] xa_load
     0.00%  my_executable  libc.so.6                  [.] 0x000000000008782d
     0.00%  my_executable  ld-linux-x86-64.so.2       [.] 0x00000000000097fc
     0.00%  my_executable  ld-linux-x86-64.so.2       [.] 0x000000000000a343
     0.00%  my_executable  libc.so.6                  [.] getenv
     0.00%  my_executable  ld-linux-x86-64.so.2       [.] 0x00000000000097f8
     0.00%  my_executable  ld-linux-x86-64.so.2       [.] 0x00000000000097ce
     0.00%  my_executable  ld-linux-x86-64.so.2       [.] 0x000000000000a42c
     0.00%  my_executable  libc.so.6                  [.] dlopen
     0.00%  my_executable  libc.so.6                  [.] _IO_getline_info
     0.00%  my_executable  libc.so.6                  [.] 0x000000000005d2cd
     0.00%  my_executable  ld-linux-x86-64.so.2       [.] 0x0000000000009b41
     0.00%  my_executable  [kernel.vmlinux]           [k] string
     0.00%  my_executable  libc.so.6                  [.] 0x000000000015ad9b
     0.00%  my_executable  ld-linux-x86-64.so.2       [.] 0x000000000000a441
     0.00%  my_executable  libc.so.6                  [.] 0x000000000009a425
     0.00%  my_executable  libc.so.6                  [.] 0x000000000009a04b
     0.00%  my_executable  [kernel.vmlinux]           [k] folio_batch_move_lru
     0.00%  my_executable  [kernel.vmlinux]           [k] uprobe_mmap
     0.00%  my_executable  [kernel.vmlinux]           [k] deactivate_slab
     0.00%  my_executable  libc.so.6                  [.] _IO_file_open
     0.00%  my_executable  [kernel.vmlinux]           [k] vma_prepare
     0.00%  my_executable  ld-linux-x86-64.so.2       [.] 0x0000000000009a65
     0.00%  my_executable  ld-linux-x86-64.so.2       [.] 0x000000000000981f
     0.00%  my_executable  libhwloc.so.15.7.0         [.] 0x000000000003bfa0
     0.00%  my_executable  [kernel.vmlinux]           [k] mas_preallocate
     0.00%  my_executable  [kernel.vmlinux]           [k] path_openat
     0.00%  my_executable  ld-linux-x86-64.so.2       [.] 0x000000000000984f
     0.00%  my_executable  ld-linux-x86-64.so.2       [.] 0x000000000000986b
     0.00%  my_executable  [kernel.vmlinux]           [k] kernfs_iop_permission
     0.00%  my_executable  ld-linux-x86-64.so.2       [.] 0x0000000000023651
     0.00%  my_executable  [kernel.vmlinux]           [k] bpf_lsm_inode_permission
     0.00%  my_executable  ld-linux-x86-64.so.2       [.] 0x000000000000e4ce
     0.00%  my_executable  ld-linux-x86-64.so.2       [.] 0x000000000000a4aa
     0.00%  my_executable  ld-linux-x86-64.so.2       [.] 0x000000000000df5c
     0.00%  my_executable  libhwloc.so.15.7.0         [.] 0x000000000003a053
     0.00%  my_executable  ld-linux-x86-64.so.2       [.] 0x0000000000009aee
     0.00%  my_executable  [kernel.vmlinux]           [k] mounts_open_common
     0.00%  my_executable  ld-linux-x86-64.so.2       [.] 0x0000000000009af7
     0.00%  my_executable  ld-linux-x86-64.so.2       [.] 0x000000000000982d
     0.00%  my_executable  ld-linux-x86-64.so.2       [.] 0x000000000000e607
     0.00%  my_executable  libhwloc.so.15.7.0         [.] 0x0000000000037c62
     0.00%  my_executable  libc.so.6                  [.] wcsncpy
     0.00%  my_executable  ld-linux-x86-64.so.2       [.] 0x00000000000135b2
     0.00%  my_executable  [kernel.vmlinux]           [k] kernfs_iop_get_link
     0.00%  my_executable  ld-linux-x86-64.so.2       [.] 0x000000000000a40b
     0.00%  my_executable  [kernel.vmlinux]           [k] strlen
     0.00%  my_executable  [kernel.vmlinux]           [k] security_mmap_addr
     0.00%  my_executable  libudev.so.1.7.8           [.] 0x0000000000023e7c
     0.00%  my_executable  [kernel.vmlinux]           [k] cred_fscmp
     0.00%  my_executable  ld-linux-x86-64.so.2       [.] 0x0000000000007996
     0.00%  my_executable  [kernel.vmlinux]           [k] map_id_range_down
     0.00%  my_executable  [kernel.vmlinux]           [k] __sched_setaffinity
     0.00%  my_executable  [kernel.vmlinux]           [k] chacha_permute
     0.00%  my_executable  libc.so.6                  [.] 0x0000000000099427
     0.00%  my_executable  [kernel.vmlinux]           [k] affine_move_task
     0.00%  my_executable  bpf_trampoline_6442532982  [k] bpf_trampoline_6442532982
     0.00%  my_executable  [kernel.vmlinux]           [k] kernfs_put_active
     0.00%  my_executable  libc.so.6                  [.] pthread_cond_broadcast
     0.00%  my_executable  libhwloc.so.15.7.0         [.] 0x0000000000037553
     0.00%  my_executable  libc.so.6                  [.] 0x0000000000099585
     0.00%  my_executable  libhwloc.so.15.7.0         [.] 0x0000000000037539
     0.00%  my_executable  [kernel.vmlinux]           [k] restore_fpregs_from_fpstate
     0.00%  my_executable  [kernel.vmlinux]           [k] syscall_exit_to_user_mode
     0.00%  my_executable  libhwloc.so.15.7.0         [.] 0x0000000000039b09
     0.00%  my_executable  libhwloc.so.15.7.0         [.] 0x0000000000039aee
     0.00%  my_executable  [kernel.vmlinux]           [k] __set_cpus_allowed_ptr
     0.00%  my_executable  [kernel.vmlinux]           [k] security_task_setscheduler
     0.00%  my_executable  [kernel.vmlinux]           [k] psi_flags_change
     0.00%  my_executable  libc.so.6                  [.] 0x000000000015b0c1
     0.00%  my_executable  libpmix.so.2.9.5           [.] PMIx_Check_key
     0.00%  my_executable  libc.so.6                  [.] 0x000000000015982f
     0.00%  my_executable  [kernel.vmlinux]           [k] perf_event_exit_task
     0.00%  my_executable  [kernel.vmlinux]           [k] lock_mm_and_find_vma
     0.00%  my_executable  libc.so.6                  [.] clock_gettime
     0.00%  my_executable  libc.so.6                  [.] 0x0000000000099350
     0.00%  my_executable  libc.so.6                  [.] 0x000000000015983f
     0.00%  my_executable  [kernel.vmlinux]           [k] cpuset_cpus_allowed
     0.00%  my_executable  libc.so.6                  [.] 0x0000000000108a3a
     0.00%  my_executable  [kernel.vmlinux]           [k] blkcg_maybe_throttle_current
     0.00%  perf-exec      [kernel.vmlinux]           [k] native_write_msr
     0.00%  my_executable  [kernel.vmlinux]           [k] finish_task_switch.isra.0
     0.00%  my_executable  [kernel.vmlinux]           [k] acpi_os_read_memory
     0.00%  my_executable  [kernel.vmlinux]           [k] nmi_handle
     0.00%  perf-exec      [kernel.vmlinux]           [k] __rcu_read_unlock
     0.00%  my_executable  [kernel.vmlinux]           [k] ghes_copy_tofrom_phys


#
# (Tip: Order by the overhead of source file name and line number: perf report -s srcline)
#
